refid	reference
55	This study provides a comprehesive update of the negative health implications of
55	obesity in pregnancy for future metabolic health of the children. 3. Muhlhausler BS, Ong ZY. The fetal origins of obesity: early origins of altered food intake. Endocr Metab Immune Disord Drug Targets 2011; 11:189-197. 4. Innis SM. Essential fatty acid transfer and fetal development. Placenta 2005; 26:S70-S75. 5. Drong AW, Lindgren CM, McCarthy MI. The Genetic and Epigenetic Basis of && Type 2 Diabetes and Obesity. Clin Pharmacol Ther. 2012; 92:707-715.
55	This study provides an up-to-date summary of the genetic and epigenetic factors
55	implicated in the risk of obesity. 6. Campbell KJ, Hesketh KD. Strategies which aim to positively impact on weight, physical activity, diet and sedentary behaviours in children fromzero to five years. A systematic review of the literature. Obesity Rev 2007; 8:327-338. 7. et al. Ailhaud G, Massiera F, Weill P, Temporal changes in dietary fats: role of n-6 polyunsaturated fatty acids in excessive adipose tissue development and relationship to obesity. Prog Lipid Res 2006; 45:203-236. 8. Simopoulos AP. Commentary on the workshop statement. Essentiality of and recommended dietary intakes for Omega-6 and Omega-3 fatty acids. Pros- taglandins Leukot Essent Fatty Acids 2000; 63:123-124. 9. Simopoulos AP. Evolutionary aspects of the dietary omega-6:omega-3 fatty acid ratio: medical implications. World Rev Nutr Diet 2009; 100:1-21.
55	10. et al. Hauner H, Vollhardt C, Schneider KT, The impact of nutritional fatty acids during pregnancy and lactation on early human adipose tissue development. Rationale and design of the INFAT study. Ann Nutr Metab 2009; 54:97-103.
55	11. et al. McMillen IC, MacLaughlin SM, Muhlhausler BS, Developmental origins of adult health and disease: the role of periconceptional and fetal nutrition. Basic Clin Pharmacol Toxicol 2008; 102:82-89.
55	12. Hales CN, Barker DJP. The thrifty phenotype hypothesis. Br Med Bull 2001; 60:5-20.
55	13. Poston L. Intergenerational transmission of insulin resistance and type 2 && diabetes. Prog Biophys Mol Biol 2011; 106:315-322.
55	Provides a comprehesive description of the mechanisms linking maternal obesity
55	and diabetes to advserse metabolic outcomes in the offspring.
55	14. Rkhzay-Jaf J, O'Dowd JF, Stocker CJ. Maternal obesity and the fetal origins of the metabolic syndrome. Curr Cardiovasc Risk Rep 2012; 6:487-495. 
55	15. Gaillard D, Negrel R, Lagarde M, Ailhaud G. Requirement and role of arachi- donic acid in the differentiation of preadipose cells. BiochemJ 1989; 257:389- 397.
55	16. Azain MJ. Role of fatty acids in adipocyte growth and development. J Anim Sci 2004; 82:916-924.
55	17. et al. Javadi M, Everts H, Hovenier R, The effect of six different C18 fatty acids on body fat and energy metabolism in mice. Br J Nutr 2004; 92:391-399.
55	18. et al Muhlhausler BS, Cook-Johnson R, James M, . Opposing effects of omega-3 and omega-6 long chain polyunsaturated Fatty acids on the ex- pression of lipogenic genes in omental and retroperitoneal adipose depots in the rat. J Nutr Metab 2010 [Epub ahead of print].
55	19. et al. Alvheim AR, Malde MK, Osei-Hyiaman D, Dietary Linoleic Acid Elevates && Endogenous 2-AG and Anandamide and induces obesity. obesity 2012; 20:1984-1994.
55	This was the first study to show that intake of linoleic acid at similar levels to those
55	present in typical western diets was associated with increased tissue levels of the
55	linoleic acid derivatives and, importantly, with hyperphagia and obesity in a rodent
55	20.
55	21.
55	22.
55	23.
55	24.
55	25.
55	model et al. Massiera F, Saint-Marc P, Seydoux J, Arachidonic acid and prostacyclin signaling promote adipose tissue development: a human health concern? J Lipid Res 2003; 44:271-279. et al. Massiera F, Barbry P, Guesnet P, A Western-like fat diet is sufficient to induce a gradual enhancement in fat mass over generations. J Lipid Res. 2010; 51:2352-2361. et al. Pouteau E, Aprikian O, Grenot C, A low alpha-linolenic intake during early life increases adiposity in the adult guinea pig. Nutr Metab 2010; 7:8. Makrides M, Neumann MA, Gibson RA. Effect of maternal docosahexaenoic acid (DHA) supplementation on breast milk composition. Eur J Clin Nutr 1996; 50:352-357. et al. Koletzko B, Baker S, Cleghorn G, Global standard for the composition of infant formula: recommendations of an ESPGHAN coordinated international expert group. J Pediatr Gastroenterol Nutr 2005; 41:584-599. Rice R. Draft ISSFAL statement on dietary recommendations on LCPUFA in infant formula. Prostaglandins Leukot Essent Fatty Acids 2008; 78:229.
658	1. Abel, E. L. Paternal and maternal alcohol consumption: Effects  on offspring in two strains of rats. Alcohol Clin.. Exp. Res.  132533-541; 1989
658	2. Abel, E. L. Rat offspring sired by males treated with alcohol.  Alcohol 10:237-242; 1993
658	3. Abel E. L.; Lee .I. A. Paternal alcohol exposure affects offspring  behavior but not body or organ weights in mice. Alcohol Clin.  Exp. Res. 12:349-355; 1988
658	4. Abel E. L.: Tan, S. E. Effects of paternal alcohol consumption  on pregnancy outcome in rats. Neurotoxicol. Teratol.l0:187-  192; 1988
658	5. Adams, P. M.; Fabricant, J. D.; Legator, M. S. Cyclophospha-  mide-induced spermatogenic effects detected in the Fl genera-  tion by behavioral testing. Science 211:80-82;1981
658	6. Anderson. D. Male-mediated Fl abnormalities. Mutat.  Res.229:103-246; 1990
658	7. Anderson, R. A.; Willis, B. R.; Oswald, C.; Zaneveld, L. J. D.  Ethanol-induced male infertility:impairment of spermatozoa. J.  Pharmacol. Exp. Ther. 225:479-l86; 1983
658	8. Anderson, R. A.; Furby, J. E.; Oswald, C.: Zaneveld, L. J. D.  Teratological evaluation of mouse fetuses after paternal alcohol.  Neurobehav. Toxicol. Teratol. 3:117-20; 1981
658	9. Aschengrau, A.; Monson, R.R. Paternal military service in Viet-  nam and the risk of late adverse pregnancy outcomes. Am. J.  Pub. Health S&1218-1224;1990
658	10. Auroux, M.; Dulioust, E.; Selva, J.; Rince, P. Cyclophosphamide  in the FO male rat: Physical and behavioral changes in three  successive adult generations. Mutat. Res. 229:189-200; 1990
658	11. Bakke, J. L.; Lawrence, N. L.: Robinson, S. Observations  on the untreated progeny of hypothyroid male rats. Metabolism  25:437-44; 1976
658	12. Barlow. S.; Sullivan, F. Reproductive hazards of industrial chemi-  cals. New York: Marcel Decker: 1985
658	13. Begleiter, H.; Porjesz, B.; Bihari, B.; Kissin. B. Event-related  brain potentials in boys at risk for alcoholism. Science 225:  1493-96; 1984
658	14. Bellve, A. R.; Chandrika, R.; Martinova, Y.: Barth, A. H. The  perinuclear matrix as a structural element of the mouse sperm  nucleus. Biol. Reprod. 47:451-465; 1992
658	15. Benziger, D. P.; Edelson, J. Absorption from the vagina. Drug  Metab. Rev. 14:137-168;1988
658	16. Berk, R. S.; Montgomery, 1. N; Hazlett, L. D.; Abel, E. L. Paternal  alcohol consumption: Effects on ocular response and serum anti-  body response to Pseudomonas aeruginosa infection in offspring.  Alcohol Clin.. Exp. Res. 13:795-798: 1989
658	17. Bertin, J. E.; Werby, E. A. Legal and policy issues. In: Paul, M.;  ed. Occupational and environmental reproductive hazards: A  guide for Clinicians. Baltimore: Williams and Wilkins; 1993:  150-162
658	18. Bleich, D.; Polak, M.; Eisenbarth, G. S.; Jackson, R. A. De-  creased risk of type I diabetes in offspring of mothers who acquire  diabetes during adrenarchy. Diabetes 42:1433-1439: 1993
658	19. Brady, K.; Herrera. Y.; Zenick, H. Influence of parental lead  exposure on subsequent learning ability of offspring. Pharmacol.  Biochem. Behav. 3:561-565; 1975
658	20. Buckley, J. Male-mediated developmental toxicity: Paternal ex-     698 FRIEDLER   posures and childhood cancers. In: Olshan. A. F.: Mattison. D. R..  eds. Male-mediated developmental toxicity. New York: Plenum  Press: lYY4:169-175
658	21. Campbell, J. H.; Zimmerman. E.G. Automodulation 01 penes:  A proposed mechanism for persisting effects of drugs and hor-  mones in mammals. Neurobehav. Toxicol. Teratol. 4:435-13%  1982
658	22. Carlscn. E.; Giwcrcman. A.: Kciding, N.: Skakkeback, N. E.  Evidence for decreasing quality of semen during the paht lift!  years. BMJ 305:6OY-613: 1992
