exposure,refid,relevance_score
Air Pollution,31022,30
Air Pollution,23371,20
Air Pollution,31456,20
Air Pollution,21016,17
Air Pollution,46762,35
Air Pollution,22800,25
Air Pollution,41463,15
Air Pollution,11666,50
Air Pollution,25170,20
Air Pollution,30836,32
Air Pollution,10609,15
Air Pollution,10698,20
Air Pollution,15790,10
Air Pollution,20947,10
Air Pollution,1011,25
Air Pollution,19184,5
Air Pollution,45018,10
Air Pollution,13575,10
Air Pollution,20309,20
Air Pollution,27637,20
Air Pollution,46388,22
Air Pollution,9444,2
Air Pollution,47995,5
Air Pollution,28067,25
Air Pollution,39839,20
Air Pollution,41732,10
Air Pollution,44033,25
Air Pollution,36097,15
Air Pollution,9188,20
Air Pollution,24088,5
Air Pollution,2133,5
Air Pollution,42872,7
Air Pollution,13051,5
Air Pollution,20694,25
Air Pollution,29432,20
Air Pollution,43610,5
Air Pollution,1057,7
Air Pollution,32623,10
Air Pollution,41581,13
Air Pollution,193,15
Air Pollution,34731,15
Air Pollution,36055,25
Air Pollution,26576,5
Air Pollution,20060,10
Air Pollution,17724,15
Air Pollution,29521,12
Air Pollution,45267,7
Air Pollution,43970,10
Air Pollution,39157,15
Air Pollution,853,15
Air Pollution,10783,22
Air Pollution,10671,10
Air Pollution,7874,20
Air Pollution,29100,25
Air Pollution,20246,7
Air Pollution,42853,15
Air Pollution,22886,5
Air Pollution,40502,10
Air Pollution,18604,2
Air Pollution,18649,20
Air Pollution,26783,7
Air Pollution,29098,20
Air Pollution,48094,15
Air Pollution,26488,7
Air Pollution,24883,15
Air Pollution,36621,13
Air Pollution,39144,5
Air Pollution,20001,15
Air Pollution,46846,7
Air Pollution,5232,5
Air Pollution,4797,2
Air Pollution,19612,15
Air Pollution,18216,7
Air Pollution,48618,15
Air Pollution,6895,2
Air Pollution,17870,7
Air Pollution,18302,10
Air Pollution,10197,5
Air Pollution,45571,5
Air Pollution,18509,12
Air Pollution,23432,5
Air Pollution,29984,20
Air Pollution,29307,15
Air Pollution,3121,17
Air Pollution,36185,10
Air Pollution,25049,2
Air Pollution,26202,10
Air Pollution,7076,7
Air Pollution,18194,7
Air Pollution,21176,17
Air Pollution,9301,5
Air Pollution,8698,5
Air Pollution,29342,5
Air Pollution,27445,15
Air Pollution,9267,10
Air Pollution,1086,22
Air Pollution,14760,7
Air Pollution,17471,7
Air Pollution,6843,12
Air Pollution,21082,5
Air Pollution,45069,10
Air Pollution,7769,7
Air Pollution,17879,25
Air Pollution,21413,12
Air Pollution,35449,7
Air Pollution,27169,5
Air Pollution,41227,10
Air Pollution,6025,17
Air Pollution,5905,5
Air Pollution,17000,5
Air Pollution,44694,5
Air Pollution,19047,5
Air Pollution,12903,2
Air Pollution,26316,5
Air Pollution,7101,5
Air Pollution,47619,20
Air Pollution,31929,2
Air Pollution,5531,2
Air Pollution,40744,5
Air Pollution,41078,10
Air Pollution,27117,5
Air Pollution,8463,5
Air Pollution,4829,2
Air Pollution,48410,5
Air Pollution,24654,2
Air Pollution,40560,2
Air Pollution,12395,5
Air Pollution,43511,7
Air Pollution,18835,2
Air Pollution,10303,2
Air Pollution,37319,2
Air Pollution,32986,2
Air Pollution,1788,7
Air Pollution,45373,5
Air Pollution,22006,2
Air Pollution,35356,2
Air Pollution,4804,5
Air Pollution,4105,2
Air Pollution,46002,5
Air Pollution,4772,5
Air Pollution,39183,5
Air Pollution,3432,7
Air Pollution,16120,7
Air Pollution,17561,12
Air Pollution,21753,2
Air Pollution,13009,2
Air Pollution,32824,2
Air Pollution,20118,5
Air Pollution,8691,5
Air Pollution,44870,5
Air Pollution,10024,5
Air Pollution,11561,5
Air Pollution,19651,17
Air Pollution,19189,15
Air Pollution,2649,2
Air Pollution,16448,7
Air Pollution,30184,5
Air Pollution,5785,7
Air Pollution,37481,17
Air Pollution,47567,2
Air Pollution,35027,5
Air Pollution,2752,8
Air Pollution,24521,2
Air Pollution,47635,5
Air Pollution,41166,5
Air Pollution,22650,15
Air Pollution,47673,27
Air Pollution,14401,12
Air Pollution,37466,12
Air Pollution,30468,15
Air Pollution,28524,15
Air Pollution,12557,2
Air Pollution,32388,2
Air Pollution,34061,5
Air Pollution,44042,5
Air Pollution,37830,2
Air Pollution,17008,12
Air Pollution,2552,5
Air Pollution,36805,2
Air Pollution,42450,2
Air Pollution,40757,5
Air Pollution,37246,5
Air Pollution,8781,5
Air Pollution,16678,5
Air Pollution,2190,10
Air Pollution,4075,7
Air Pollution,7746,10
Air Pollution,8131,5
Air Pollution,10134,10
Air Pollution,16888,5
Air Pollution,18639,10
Air Pollution,26359,7
Air Pollution,32274,5
Air Pollution,33122,5
Air Pollution,38684,7
Air Pollution,45592,7
Air Pollution,1885,5
Air Pollution,6032,8
Air Pollution,19226,5
Air Pollution,37029,7
Air Pollution,43620,5
Air Pollution,13175,2
Air Pollution,20887,2
Air Pollution,29181,2
Air Pollution,31783,2
Air Pollution,25231,2
Air Pollution,47064,2
Air Pollution,2409,2
Air Pollution,28164,15
Air Pollution,47054,10
Air Pollution,22301,2
Air Pollution,27100,2
Air Pollution,38538,2
Air Pollution,17793,2
Air Pollution,14718,5
Air Pollution,39254,5
Air Pollution,42422,5
Air Pollution,43387,5
Air Pollution,5305,5
Air Pollution,18806,2
Air Pollution,4916,17
Air Pollution,17521,2
Air Pollution,1189,5
Air Pollution,2941,7
Air Pollution,3165,8
Air Pollution,3410,7
Air Pollution,3839,5
Air Pollution,6215,5
Air Pollution,6707,5
Air Pollution,8935,10
Air Pollution,11535,7
Air Pollution,16044,5
Air Pollution,19346,10
Air Pollution,19617,5
Air Pollution,24268,10
Air Pollution,24742,5
Air Pollution,26915,5
Air Pollution,29807,5
Air Pollution,34127,10
Air Pollution,35886,5
Air Pollution,44996,5
Air Pollution,48087,7
Air Pollution,15057,2
Air Pollution,10319,10
Air Pollution,21799,10
Air Pollution,36767,10
Air Pollution,48105,10
Air Pollution,3000,2
Air Pollution,4082,2
Air Pollution,6074,2
Air Pollution,11074,2
Air Pollution,11415,2
Air Pollution,16237,2
Air Pollution,17513,2
Air Pollution,19499,2
Air Pollution,28250,2
Air Pollution,33860,2
Air Pollution,37450,2
Air Pollution,43082,2
Air Pollution,45007,2
Air Pollution,47811,5
Air Pollution,48270,2
Air Pollution,8799,2
Air Pollution,15995,2
Air Pollution,30788,2
Air Pollution,40357,2
Air Pollution,40717,2
Air Pollution,8581,5
Air Pollution,17903,5
Air Pollution,45981,5
Air Pollution,23535,2
Air Pollution,36287,5
Air Pollution,18155,2
Air Pollution,18596,2
Air Pollution,20231,2
Air Pollution,22724,2
Air Pollution,24065,2
